algorithm,CUT,criterion,Size,Length,MutationScore,Coverage,Covered_Goals,Total_Goals,Total_Time,BranchCoverage,BZUTestExecutionTime
M_IBEA,org.joda.time.base.BasePeriod,BRANCH;BZU_TIME;BZU_LENGTH,29,107,0.463815789,0.987341772,78,81,613893,0.962025316,24
M_IBEA,org.joda.time.chrono.BasicMonthOfYearDateTimeField,BRANCH;BZU_TIME;BZU_LENGTH,24,91,0.73605948,0.989417989,63,65,613795,0.968253968,4
M_IBEA,org.joda.time.chrono.LimitChronology,BRANCH;BZU_TIME;BZU_LENGTH,27,154,0.201954397,0.925595238,89,114,616163,0.776785714,51
M_IBEA,JSci.maths.symbolic.SimpleCharStream,BRANCH;BZU_TIME;BZU_LENGTH,33,81,0.086912065,0.992063492,82,86,622948,0.952380952,36
M_IBEA,JSci.maths.SpecialMath,BRANCH;BZU_TIME;BZU_LENGTH,25,103,0.251788269,0.955782313,172,198,611279,0.867346939,3
M_IBEA,JSci.maths.LinearMath,BRANCH;BZU_TIME;BZU_LENGTH,25,538,0.088122605,0.955470738,227,264,946284,0.866412214,41
M_IBEA,org.tartarus.snowball.ext.turkishStemmer,BRANCH;BZU_TIME;BZU_LENGTH,30,76,0.167381974,0.873540856,321,516,616859,0.620622568,101
M_IBEA,org.tartarus.snowball.ext.italianStemmer,BRANCH;BZU_TIME;BZU_LENGTH,29,74,0.210031348,0.897660819,160,230,608191,0.692982456,38
M_IBEA,org.tartarus.snowball.ext.englishStemmer,BRANCH;BZU_TIME;BZU_LENGTH,41,98,0.136942675,0.93908046,239,292,609154,0.817241379,12
M_IBEA,gnu.trove.decorator.TDoubleShortMapDecorator,BRANCH;BZU_TIME;BZU_LENGTH,21,98,0.440366972,0.909090909,58,79,609176,0.727272727,7
M_IBEA,gnu.trove.decorator.TShortByteMapDecorator,BRANCH;BZU_TIME;BZU_LENGTH,24,98,0.462809917,0.913419913,59,79,605774,0.74025974,15
M_IBEA,gnu.trove.impl.hash.TCharHash,BRANCH;BZU_TIME;BZU_LENGTH,13,63,0.327349525,0.983333333,58,62,614201,0.933333333,46
M_IBEA,gnu.trove.impl.hash.TFloatCharHash,BRANCH;BZU_TIME;BZU_LENGTH,18,83,0.262214984,0.888888889,60,89,617710,0.666666667,5
M_IBEA,gnu.trove.impl.hash.TFloatDoubleHash,BRANCH;BZU_TIME;BZU_LENGTH,14,81,0.27376117,0.888888889,60,89,616735,0.666666667,11
M_IBEA,org.znerd.xmlenc.XMLChecker,BRANCH;BZU_TIME;BZU_LENGTH,18,24,0.079049198,0.776037373,400,1215,610505,0.328112119,5
M_IBEA,org.znerd.xmlenc.XMLEncoder,BRANCH;BZU_TIME;BZU_LENGTH,48,140,0.502364066,0.976190476,171,184,607893,0.928571429,4
M_IBEA,com.ib.client.ExecutionFilter,BRANCH;BZU_TIME;BZU_LENGTH,10,32,0.382857143,1,22,22,16184,1,1
M_IBEA,com.ib.client.OrderState,BRANCH;BZU_TIME;BZU_LENGTH,10,36,0.405555556,1,24,24,5327,1,2
M_IBEA,com.ib.client.ComboLeg,BRANCH;BZU_TIME;BZU_LENGTH,9,33,0.575757576,1,23,23,4836,1,2
M_IBEA,org.apache.commons.cli.HelpFormatter,BRANCH;BZU_TIME;BZU_LENGTH,33,122,0.195286195,0.981481481,138,146,723928,0.944444444,102
M_IBEA,org.apache.commons.cli.Option,BRANCH;BZU_TIME;BZU_LENGTH,47,116,0.62055336,1,100,100,24155,1,2
M_IBEA,org.apache.commons.collections4.list.TreeList,BRANCH;BZU_TIME;BZU_LENGTH,29,160,0.422547332,0.9847793,210,221,610888,0.949771689,17
M_IBEA,org.apache.commons.collections4.sequence.SequencesComparator,BRANCH;BZU_TIME;BZU_LENGTH,6,66,0.36097561,0.988764045,88,91,610791,0.966292135,6
M_IBEA,org.apache.commons.lang3.ClassUtils,BRANCH;BZU_TIME;BZU_LENGTH,75,150,0.495426829,0.921052632,205,268,613377,0.763157895,14
M_IBEA,org.apache.commons.lang3.ArrayUtils,BRANCH;BZU_TIME;BZU_LENGTH,296,651,0.551406402,0.929492691,924,1165,651150,0.7927773,23
M_IBEA,org.apache.commons.lang3.text.StrBuilder,BRANCH;BZU_TIME;BZU_LENGTH,235,679,0.35178416,0.987549519,569,591,681156,0.962648557,47
M_IBEA,org.apache.commons.lang3.time.DateUtils,BRANCH;BZU_TIME;BZU_LENGTH,113,267,0.430971512,0.996644295,297,300,712864,0.989932886,21
M_IBEA,org.apache.commons.lang3.BooleanUtils,BRANCH;BZU_TIME;BZU_LENGTH,109,193,0.684458399,0.967295597,242,267,613903,0.905660377,14
M_IBEA,org.apache.commons.lang3.Conversion,BRANCH;BZU_TIME;BZU_LENGTH,221,428,0.214088398,0.928446771,606,766,633038,0.790575916,21
M_IBEA,org.apache.commons.math3.linear.RectangularCholeskyDecomposition,BRANCH;BZU_TIME;BZU_LENGTH,5,21,0.691823899,1,33,33,7886,1,7
M_IBEA,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,BRANCH;BZU_TIME;BZU_LENGTH,21,114,0.11369509,0.95,70,82,616143,0.85,20
M_IBEA,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,BRANCH;BZU_TIME;BZU_LENGTH,18,141,0.267806268,0.994350282,60,61,611919,0.983050847,17
M_IBEA,org.apache.commons.math3.linear.MatrixUtils,BRANCH;BZU_TIME;BZU_LENGTH,50,247,0.256756757,0.966457023,145,161,641463,0.899371069,195
M_IBEA,org.apache.commons.math3.dfp.DfpDec,BRANCH;BZU_TIME;BZU_LENGTH,9,11,0,0.685990338,10,140,603295,0.057971014,2
M_IBEA,org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,BRANCH;BZU_TIME;BZU_LENGTH,13,55,0.073943662,0.954545455,59,68,608685,0.863636364,2
M_IBEA,org.apache.commons.math3.analysis.FunctionUtils,BRANCH;BZU_TIME;BZU_LENGTH,13,35,0.085185185,0.736730361,35,159,609745,0.210191083,61
M_IBEA,org.apache.commons.math3.optim.univariate.BrentOptimizer,BRANCH;BZU_TIME;BZU_LENGTH,3,13,0,0.697777778,9,77,603034,0.093333333,276
M_IBEA,org.apache.commons.math3.linear.SchurTransformer,BRANCH;BZU_TIME;BZU_LENGTH,7,67,0.19047619,0.971014493,86,94,650897,0.913043478,43
